"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100473",38.5500526361617,-4.57625741308339,0.885476076853842,-5.16813218640886,2.36445061939353e-07,5.95231003673879e-06
"ENSG00000100478",71.7115351077843,-1.05953331807969,0.459750169866102,-2.30458494096538,0.0211898301617111,0.0764713479626758
"ENSG00000100479",72.0488455455449,0.0984385578393046,0.328993837551731,0.299210947450729,0.764779096857416,0.869892482429298
"ENSG00000100483",80.2351324630439,-0.626013852230337,0.385958224472378,-1.62197308552273,0.104809111103145,0.244436324563281
"ENSG00000100485",700.966443290365,-1.50505999261015,0.30010188491473,-5.01516341037909,5.29884110696806e-07,1.18781396961839e-05
"ENSG00000100490",57.2758513901715,-2.96271199463336,0.46344774613982,-6.39276384298032,1.62913776503967e-10,8.91997601566713e-09
"ENSG00000100503",556.938641689633,-0.650989890158191,0.310134729244194,-2.09905511628662,0.0358120423992605,0.112492234322976
"ENSG00000100504",471.191015990567,1.14009050533003,0.689406850468095,1.65372668483918,0.0981830581911849,0.233380959941968
"ENSG00000100505",10.544134010897,-2.50092137156183,1.05993159984065,-2.35951204015222,0.0182989870473318,0.0688017944868573
"ENSG00000100519",1022.35046486931,-0.52061200007263,0.288051801009934,-1.80735547650568,0.0707068713038552,0.184353427035206
"ENSG00000100522",771.345400841374,-0.0651348100950376,0.42921990299371,-0.151751607138293,0.879382851873223,0.936184443314915
"ENSG00000100523",229.170364683542,-0.611514932324176,0.405943278665518,-1.50640487098209,0.13196327103655,0.287190979367089
"ENSG00000100526",165.010129568558,1.3851139236735,0.396036968470548,3.49743593135425,0.000469753530936266,0.0038284171835137
"ENSG00000100528",1199.21818048112,-0.605913076766397,0.287118418902396,-2.11032464960868,0.0348304018105856,0.110139954807403
"ENSG00000100532",128.340922203714,-1.77653087518311,0.39482982738751,-4.49948497290078,6.81182946191507e-06,0.000107882675340123
"ENSG00000100554",746.781719922355,-1.4770148482285,0.37946595823904,-3.89235138530679,9.92773143569295e-05,0.00104010554487567
